ID_REF,VALUE,Ratio,Flagged?,INV_VALUE
YPL221W,0.26707,0.54066,FALSE,-0.26707
YLR267W,-0.07266,1.18212,FALSE,0.07266
YNL042W,-0.58565,3.85171,FALSE,0.58565
YLR078C,-0.0929,1.2385,FALSE,0.0929
YCR032W,-0.22953,1.69641,FALSE,0.22953
YDL141W,0.05275,0.88562,FALSE,-0.05275
YLL015W,-0.06348,1.15738,FALSE,0.06348
YDL074C,0.11767,0.76267,FALSE,-0.11767
YLR015W,0.04635,0.89877,FALSE,-0.04635
YDL231C,0.07688,0.83777,FALSE,-0.07688
YNR051C,0.15892,0.69356,FALSE,-0.15892
YGR246C,-0.05098,1.12454,FALSE,0.05098
YBL097W,0.13731,0.72894,FALSE,-0.13731
YPL084W,-0.04416,1.10704,FALSE,0.04416
YPR057W,0.08934,0.81407,FALSE,-0.08934
YER172C,-0.00305,1.00706,FALSE,0.00305
YOL077C,0.18588,0.65181,FALSE,-0.18588
YBR290W,0.01148,0.97391,FALSE,-0.01148
YFL025C,-0.02217,1.05238,FALSE,0.02217
YGR142W,-0.17601,1.49972,FALSE,0.17601
YPL069C,0.02475,0.94461,FALSE,-0.02475
YDR252W,0.06162,0.86773,TRUE,-0.06162
YGR188C,0.05828,0.87441,FALSE,-0.05828
YMR055C,0.05539,0.88025,FALSE,-0.05539
YOR026W,0.295,0.50699,FALSE,-0.295
YGL174W,0.05417,0.88274,FALSE,-0.05417
YAR014C,-0.19389,1.56274,FALSE,0.19389
YEL029C,0.1545,0.70065,FALSE,-0.1545
YNR027W,0.0195,0.9561,FALSE,-0.0195
YJL188C,0.06634,0.85834,FALSE,-0.06634
YKL092C,0.16439,0.68488,FALSE,-0.16439
YLR074C,0.04047,0.91102,FALSE,-0.04047
YOR078W,0.23183,0.58637,FALSE,-0.23183
YMR014W,0.15304,0.70301,FALSE,-0.15304
YCR047C,0.01567,0.96457,FALSE,-0.01567
YDR241W,-0.06023,1.14875,TRUE,0.06023
YLR062C,0.00713,0.98371,FALSE,-0.00713
YCL014W,0.34261,0.45435,FALSE,-0.34261
YCR063W,-0.14155,1.38533,FALSE,0.14155
YGR262C,0.08023,0.83132,FALSE,-0.08023
YJR092W,0.42139,0.37898,FALSE,-0.42139
YCR038C,-0.03885,1.09359,FALSE,0.03885
YLR319C,-0.05051,1.12334,FALSE,0.05051
YOR299W,0.0837,0.82472,FALSE,-0.0837
YLR353W,0.02912,0.93514,FALSE,-0.02912
YGR041W,0.3456,0.45123,FALSE,-0.3456
YMR275C,-0.01428,1.03343,FALSE,0.01428
YML111W,-0.01626,1.03815,FALSE,0.01626
YLR226W,-0.00656,1.01522,FALSE,0.00656
YER159C,-0.10694,1.2792,FALSE,0.10694
YHR114W,-0.05945,1.14671,FALSE,0.05945
YML102W,0.32351,0.47478,FALSE,-0.32351
YDR423C,-0.09792,1.25291,FALSE,0.09792
YNL278W,0.13347,0.7354,FALSE,-0.13347
YGR134W,0.0816,0.82871,FALSE,-0.0816
YFL028C,-0.05177,1.12661,FALSE,0.05177
YJR122W,0.02429,0.9456,FALSE,-0.02429
